"cowID","seasonyr","milkAUC","cowagen","cdate","calfsex","stage","BCS","BW"
4008,"March2020",860.3356933,6,10,"steer","precalve",5,536.145744
4045,"March2020",1372.741249,6,4,"steer","precalve",5.5,548.392728
4218,"March2020",1048.074925,6,17,"steer","precalve",5,534.784968
4224,"March2020",1110.653032,6,13,"steer","precalve",5,628.22492
4251,"March2020",1218.710141,6,13,"heifer","precalve",5,588.762416
4253,"March2020",1115.233139,6,10,"steer","precalve",5,509.837408
4263,"March2020",894.6621705,6,3,"heifer","precalve",5.5,589.6696
4268,"March2020",976.8842136,6,12,"heifer","precalve",5,600.102216
4287,"March2020",1038.949403,6,10,"heifer","precalve",5,528.43468
4288,"March2020",1024.957195,6,17,"steer","precalve",5,464.478208
4305,"March2020",1126.714686,6,3,"heifer","precalve",5.5,552.021464
4314,"March2020",1151.630028,6,1,"steer","precalve",5,549.753504
4354,"March2020",872.2848443,6,13,"heifer","precalve",5,535.692152
5001,"March2020",1042.374612,5,4,"heifer","precalve",5,555.6502
5023,"March2020",955.5086017,5,18,"heifer","precalve",5,527.073904
5037,"March2020",850.6136088,5,10,"steer","precalve",5,571.979512
5044,"March2020",987.2385015,5,9,"heifer","precalve",5,493.961688
5060,"March2020",774.4688938,5,20,"steer","precalve",4.5,467.653352
5101,"March2020",1161.779062,5,15,"heifer","precalve",5,564.72204
5114,"March2020",872.7526936,5,2,"steer","precalve",5.5,469.921312
5124,"March2020",1032.723017,5,14,"steer","precalve",5,493.508096
5182,"March2020",995.0889525,5,9,"heifer","precalve",5.5,598.287848
5195,"March2020",821.833078,5,14,"steer","precalve",5,537.50652
5213,"March2020",722.1102005,5,8,"heifer","precalve",5,528.888272
5245,"March2020",786.8294155,5,9,"heifer","precalve",5,453.138408
5299,"March2020",931.7867584,5,9,"steer","precalve",5,566.536408
6122,"March2020",687.9331083,4,8,"steer","precalve",5.5,491.693728
6126,"March2020",799.4298044,4,4,"heifer","precalve",5.5,551.567872
6164,"March2020",898.4546161,4,14,"steer","precalve",5,510.291
6254,"March2020",1045.954726,4,12,"heifer","precalve",6,527.527496
3711,"May2020",968.7467904,6,16,"steer","precalve",4.5,508.02304
3739,"May2020",1110.713992,6,18,"steer","precalve",5,502.126344
3750,"May2020",492.3461521,6,19,"heifer","precalve",5.5,577.422616
3759,"May2020",1183.197274,6,11,"heifer","precalve",4.5,512.55896
3789,"May2020",750.8008053,6,15,"heifer","precalve",5,552.475056
4704,"May2020",1096.881107,6,14,"steer","precalve",4.75,552.475056
4744,"May2020",844.3002645,6,21,"heifer","precalve",5.25,570.165144
4748,"May2020",826.888593,6,1,"heifer","precalve",4.5,491.240136
4797,"May2020",971.4805599,6,12,"heifer","precalve",5,468.106944
4798,"May2020",1125.239768,6,14,"heifer","precalve",5,452.684816
5602,"May2020",1086.445039,5,3,"heifer","precalve",5,484.889848
5612,"May2020",871.3610093,5,24,"steer","precalve",5.25,447.695304
5639,"May2020",913.5689724,5,20,"steer","precalve",5,467.653352
5704,"May2020",994.8795314,5,4,"heifer","precalve",5,559.278936
5707,"May2020",1249.376444,5,9,"steer","precalve",5.25,494.41528
5713,"May2020",663.1180502,5,31,"heifer","precalve",5,501.672752
5722,"May2020",829.0231616,5,6,"heifer","precalve",5,466.292576
5723,"May2020",1037.144251,5,7,"heifer","precalve",5,467.653352
5729,"May2020",899.8666271,5,15,"heifer","precalve",4.5,450.870448
5730,"May2020",1021.992297,5,11,"steer","precalve",5,510.744592
5736,"May2020",847.2061095,5,16,"heifer","precalve",5,567.897184
5758,"May2020",1029.583738,5,9,"steer","precalve",5.25,526.620312
5761,"May2020",923.9665788,5,20,"steer","precalve",5,457.220736
5770,"May2020",902.2410075,5,15,"heifer","precalve",5,506.662264
5795,"May2020",878.9060256,5,13,"steer","precalve",4.5,497.590424
6601,"May2020",774.5535658,4,20,"steer","precalve",5,362.420008
6751,"May2020",1024.026998,4,12,"heifer","precalve",5,441.345016
6760,"May2020",900.7913683,4,2,"steer","precalve",5,457.220736
6780,"May2020",873.7485947,4,21,"steer","precalve",5,446.334528
6791,"May2020",490.6927997,4,9,"steer","precalve",5,441.345016
5001,"March2021",1151.747199,6,2,"heifer","precalve",4.75,530.70264
5023,"March2021",1403.048506,6,16,"steer","precalve",5,508.02304
5204,"March2021",1268.354362,6,4,"heifer","precalve",4.75,489.87936
5250,"March2021",1108.844199,6,1,"heifer","precalve",4.5,505.75508
6016,"March2021",1207.071815,5,5,"heifer","precalve",5,505.75508
6076,"March2021",1156.330746,5,2,"steer","precalve",5,557.91816
6117,"March2021",971.3151049,5,3,"heifer","precalve",4.5,407.325616
6122,"March2021",1075.548279,5,6,"steer","precalve",5,464.9318
6164,"March2021",1081.376936,5,10,"steer","precalve",4.25,498.9512
6179,"March2021",1300.180645,5,9,"steer","precalve",5.5,503.48712
6254,"March2021",748.9144114,5,6,"steer","precalve",6,542.04244
6311,"March2021",1040.109136,5,10,"heifer","precalve",5.25,503.48712
6336,"March2021",1169.471306,5,8,"steer","precalve",5.75,566.99
7102,"March2021",847.3597511,4,3,"steer","precalve",5.25,480.80752
7123,"March2021",1547.571989,4,13,"heifer","precalve",5.75,464.9318
7135,"March2021",1155.645822,4,10,"steer","precalve",5,467.19976
7140,"March2021",1539.2894,4,11,"heifer","precalve",5.25,492.14732
7142,"March2021",1169.475842,4,17,"steer","precalve",5.75,514.82692
7157,"March2021",1244.184712,4,17,"steer","precalve",4.75,489.87936
7166,"March2021",1280.812266,4,9,"heifer","precalve",5.5,489.87936
7170,"March2021",1331.253965,4,18,"heifer","precalve",5.25,441.798608
7190,"March2021",1145.748444,4,19,"steer","precalve",5,478.53956
7220,"March2021",1165.658865,4,14,"steer","precalve",5,471.73568
7230,"March2021",1022.287506,4,17,"steer","precalve",5.75,560.18612
7266,"March2021",776.8375349,4,10,"heifer","precalve",5,489.87936
7298,"March2021",1069.12088,4,9,"heifer","precalve",4.5,446.334528
7317,"March2021",1257.125692,4,8,"steer","precalve",5.5,480.80752
7318,"March2021",1109.730972,4,18,"heifer","precalve",5,494.41528
7331,"March2021",1156.178792,4,21,"heifer","precalve",4.75,420.026192
5612,"May2021",1111.391118,6,24,"steer","precalve",5.25,487.6114
5713,"May2021",1079.281341,6,13,"heifer","precalve",6,523.89876
5723,"May2021",1122.594841,6,7,"heifer","precalve",6,487.6114
5729,"May2021",977.8944569,6,15,"heifer","precalve",5.25,505.75508
5748,"May2021",1313.622844,6,21,"steer","precalve",6,501.21916
5766,"May2021",991.1211996,6,14,"heifer","precalve",5,539.77448
5798,"May2021",840.4447411,6,20,"steer","precalve",6,569.25796
6601,"May2021",1046.046655,5,23,"steer","precalve",5.25,381.01728
6604,"May2021",1104.659813,5,10,"heifer","precalve",4.75,390.08912
6708,"May2021",796.9974314,5,17,"steer","precalve",6,589.6696
6718,"May2021",829.0187586,5,14,"steer","precalve",4.75,439.077056
6726,"May2021",966.7995966,5,4,"heifer","precalve",5,404.604064
6742,"May2021",953.0807065,5,17,"heifer","precalve",6,535.23856
6751,"May2021",1138.892401,5,1,"heifer","precalve",5,431.819584
6760,"May2021",1230.127896,5,10,"steer","precalve",5,478.53956
6774,"May2021",1134.195456,5,9,"steer","precalve",4.5,402.789696
6780,"May2021",1278.449052,5,31,"steer","precalve",4.5,440.891424
7012,"May2021",1169.373784,4,2,"heifer","precalve",5,487.6114
7039,"May2021",1244.166569,4,18,"heifer","precalve",5.5,443.612976
7067,"May2021",1057.672218,4,14,"steer","precalve",5,467.19976
7629,"May2021",639.510289,4,29,"steer","precalve",5,435.44832
7632,"May2021",1036.632353,4,15,"steer","precalve",5.25,430.9124
7701,"May2021",1132.333461,4,21,"heifer","precalve",5.5,478.53956
7708,"May2021",1234.368981,4,12,"heifer","precalve",4.5,441.798608
7719,"May2021",844.132444,4,30,"steer","precalve",6,576.06184
7727,"May2021",1365.11234,4,4,"steer","precalve",6,476.2716
7733,"May2021",972.5874305,4,29,"steer","precalve",6,430.005216
7749,"May2021",1088.824916,4,15,"steer","precalve",5.5,532.9706
7789,"May2021",1024.135893,4,6,"heifer","precalve",4.25,373.759808
4008,"March2020",860.3356933,6,10,"steer","prebreed",5,508.476632
4045,"March2020",1372.741249,6,4,"steer","prebreed",5,497.136832
4218,"March2020",1048.074925,6,17,"steer","prebreed",5,516.187696
4224,"March2020",1110.653032,6,13,"steer","prebreed",5,574.247472
4251,"March2020",1218.710141,6,13,"heifer","prebreed",5,524.352352
4253,"March2020",1115.233139,6,10,"steer","prebreed",5,471.282088
4263,"March2020",894.6621705,6,3,"heifer","prebreed",5,568.804368
4268,"March2020",976.8842136,6,12,"heifer","prebreed",5.125,531.156232
4287,"March2020",1038.949403,6,10,"heifer","prebreed",4.75,490.332952
4288,"March2020",1024.957195,6,17,"steer","prebreed",5.5,438.169872
4305,"March2020",1126.714686,6,3,"heifer","prebreed",5.125,496.68324
4314,"March2020",1151.630028,6,1,"steer","prebreed",4.875,503.940712
4354,"March2020",872.2848443,6,13,"heifer","prebreed",4.625,489.87936
5001,"March2020",1042.374612,5,4,"heifer","prebreed",4.75,532.063416
5023,"March2020",955.5086017,5,18,"heifer","prebreed",5,490.332952
5037,"March2020",850.6136088,5,10,"steer","prebreed",5.125,527.981088
5044,"March2020",987.2385015,5,9,"heifer","prebreed",5.125,463.117432
5060,"March2020",774.4688938,5,20,"steer","prebreed",4,423.654928
5101,"March2020",1161.779062,5,15,"heifer","prebreed",4.625,534.784968
5114,"March2020",872.7526936,5,2,"steer","prebreed",4.75,445.427344
5124,"March2020",1032.723017,5,14,"steer","prebreed",4.625,453.592
5182,"March2020",995.0889525,5,9,"heifer","prebreed",5.375,546.57836
5195,"March2020",821.833078,5,14,"steer","prebreed",5,495.322464
5213,"March2020",722.1102005,5,8,"heifer","prebreed",4.5,487.6114
5245,"March2020",786.8294155,5,9,"heifer","prebreed",4.875,400.068144
5299,"March2020",931.7867584,5,9,"steer","prebreed",5,493.961688
6122,"March2020",687.9331083,4,8,"steer","prebreed",5.125,458.581512
6126,"March2020",799.4298044,4,4,"heifer","prebreed",5.25,537.052928
6164,"March2020",898.4546161,4,14,"steer","prebreed",4.75,464.9318
6254,"March2020",1045.954726,4,12,"heifer","prebreed",5.25,479.446744
3711,"May2020",968.7467904,6,16,"steer","prebreed",5.75,538.413704
3739,"May2020",1110.713992,6,18,"steer","prebreed",5.375,504.847896
3750,"May2020",492.3461521,6,19,"heifer","prebreed",6.375,601.462992
3759,"May2020",1183.197274,6,11,"heifer","prebreed",5.875,522.991576
3789,"May2020",750.8008053,6,15,"heifer","prebreed",5.875,606.906096
4704,"May2020",1096.881107,6,14,"steer","prebreed",6.125,634.575208
4744,"May2020",844.3002645,6,21,"heifer","prebreed",6,629.132104
4748,"May2020",826.888593,6,1,"heifer","prebreed",6,610.988424
4797,"May2020",971.4805599,6,12,"heifer","prebreed",5.25,523.89876
4798,"May2020",1125.239768,6,14,"heifer","prebreed",6,526.620312
5602,"May2020",1086.445039,5,3,"heifer","prebreed",5.625,505.75508
5612,"May2020",871.3610093,5,24,"steer","prebreed",5.5,492.14732
5639,"May2020",913.5689724,5,20,"steer","prebreed",5.875,465.385392
5704,"May2020",994.8795314,5,4,"heifer","prebreed",6,499.858384
5707,"May2020",1249.376444,5,9,"steer","prebreed",5.625,586.040864
5713,"May2020",663.1180502,5,31,"heifer","prebreed",6,528.888272
5722,"May2020",829.0231616,5,6,"heifer","prebreed",6,530.249048
5723,"May2020",1037.144251,5,7,"heifer","prebreed",6,481.714704
5729,"May2020",899.8666271,5,15,"heifer","prebreed",5.5,537.50652
5730,"May2020",1021.992297,5,11,"steer","prebreed",5.5,456.313552
5736,"May2020",847.2061095,5,16,"heifer","prebreed",6,576.06184
5758,"May2020",1029.583738,5,9,"steer","prebreed",6,555.6502
5761,"May2020",923.9665788,5,20,"steer","prebreed",5.5,516.641288
5770,"May2020",902.2410075,5,15,"heifer","prebreed",6,562.907672
5795,"May2020",878.9060256,5,13,"steer","prebreed",5.875,523.445168
6601,"May2020",774.5535658,4,20,"steer","prebreed",5,384.192424
6751,"May2020",1024.026998,4,12,"heifer","prebreed",6,459.942288
6760,"May2020",900.7913683,4,2,"steer","prebreed",6,486.250624
6780,"May2020",873.7485947,4,21,"steer","prebreed",5,481.261112
6791,"May2020",490.6927997,4,9,"steer","prebreed",5.75,477.632376
5001,"March2021",1151.747199,6,2,"heifer","prebreed",5.375,465.838984
5023,"March2021",1403.048506,6,16,"steer","prebreed",5,433.633952
5204,"March2021",1268.354362,6,4,"heifer","prebreed",5.125,427.283664
5250,"March2021",1108.844199,6,1,"heifer","prebreed",5,421.386968
6016,"March2021",1207.071815,5,5,"heifer","prebreed",5.75,441.345016
6076,"March2021",1156.330746,5,2,"steer","prebreed",4.875,474.910824
6117,"March2021",971.3151049,5,3,"heifer","prebreed",4.25,338.379632
6122,"March2021",1075.548279,5,6,"steer","prebreed",5.5,422.294152
6164,"March2021",1081.376936,5,10,"steer","prebreed",4.75,439.530648
6179,"March2021",1300.180645,5,9,"steer","prebreed",5.875,454.045592
6254,"March2021",748.9144114,5,6,"steer","prebreed",5.5,443.612976
6311,"March2021",1040.109136,5,10,"heifer","prebreed",5.25,433.633952
6336,"March2021",1169.471306,5,8,"steer","prebreed",5.75,503.940712
7102,"March2021",847.3597511,4,3,"steer","prebreed",5.125,413.675904
7123,"March2021",1547.571989,4,13,"heifer","prebreed",5.375,394.62504
7135,"March2021",1155.645822,4,10,"steer","prebreed",5.625,417.758232
7140,"March2021",1539.2894,4,11,"heifer","prebreed",5.5,398.253776
7142,"March2021",1169.475842,4,17,"steer","prebreed",5,415.490272
7157,"March2021",1244.184712,4,17,"steer","prebreed",4.75,393.264264
7166,"March2021",1280.812266,4,9,"heifer","prebreed",4.875,418.211824
7170,"March2021",1331.253965,4,18,"heifer","prebreed",4.75,367.40952
7190,"March2021",1145.748444,4,19,"steer","prebreed",4.75,382.831648
7220,"March2021",1165.658865,4,14,"steer","prebreed",6,403.243288
7230,"March2021",1022.287506,4,17,"steer","prebreed",5.375,479.900336
7266,"March2021",776.8375349,4,10,"heifer","prebreed",6,438.169872
7298,"March2021",1069.12088,4,9,"heifer","prebreed",4.5,389.181936
7317,"March2021",1257.125692,4,8,"steer","prebreed",5.125,371.94544
7318,"March2021",1109.730972,4,18,"heifer","prebreed",5.125,418.211824
7331,"March2021",1156.178792,4,21,"heifer","prebreed",4.75,352.894576
5612,"May2021",1111.391118,6,24,"steer","prebreed",6,522.084392
5713,"May2021",1079.281341,6,13,"heifer","prebreed",6,554.743016
5723,"May2021",1122.594841,6,7,"heifer","prebreed",6.125,493.961688
5729,"May2021",977.8944569,6,15,"heifer","prebreed",6,539.77448
5748,"May2021",1313.622844,6,21,"steer","prebreed",5.75,527.527496
5766,"May2021",991.1211996,6,14,"heifer","prebreed",6.125,617.792304
5798,"May2021",840.4447411,6,20,"steer","prebreed",6.375,601.0094
6601,"May2021",1046.046655,5,23,"steer","prebreed",5.5,404.150472
6604,"May2021",1104.659813,5,10,"heifer","prebreed",5.375,436.809096
6708,"May2021",796.9974314,5,17,"steer","prebreed",6.25,638.203944
6718,"May2021",829.0187586,5,14,"steer","prebreed",5.5,494.41528
6726,"May2021",966.7995966,5,4,"heifer","prebreed",5.875,452.231224
6742,"May2021",953.0807065,5,17,"heifer","prebreed",6.25,572.433104
6751,"May2021",1138.892401,5,1,"heifer","prebreed",5.75,461.303064
6760,"May2021",1230.127896,5,10,"steer","prebreed",6,492.600912
6774,"May2021",1134.195456,5,9,"steer","prebreed",5.625,436.809096
6780,"May2021",1278.449052,5,31,"steer","prebreed",6,523.89876
7012,"May2021",1169.373784,4,2,"heifer","prebreed",6,559.732528
7039,"May2021",1244.166569,4,18,"heifer","prebreed",6,496.68324
7067,"May2021",1057.672218,4,14,"steer","prebreed",5.125,452.684816
7629,"May2021",639.510289,4,29,"steer","prebreed",6,474.910824
7632,"May2021",1036.632353,4,15,"steer","prebreed",5.5,435.44832
