"cowID","seasonyr","milkAUC","cowagen","cdate","calfsex","stage","BCS","BW"
7701,"May2021",1132.333461,4,21,"heifer","prebreed",6,503.940712
7708,"May2021",1234.368981,4,12,"heifer","prebreed",6,551.567872
7719,"May2021",844.132444,4,30,"steer","prebreed",6.25,638.203944
7727,"May2021",1365.11234,4,4,"steer","prebreed",6.125,532.9706
7733,"May2021",972.5874305,4,29,"steer","prebreed",6,461.756656
7749,"May2021",1088.824916,4,15,"steer","prebreed",6,549.753504
7789,"May2021",1024.135893,4,6,"heifer","prebreed",5.625,463.117432
4008,"March2020",860.3356933,6,10,"steer","breed",5.25,464.024616
4045,"March2020",1372.741249,6,4,"steer","breed",5.625,489.425768
4218,"March2020",1048.074925,6,17,"steer","breed",5.125,504.394304
4224,"March2020",1110.653032,6,13,"steer","breed",5.75,585.587272
4251,"March2020",1218.710141,6,13,"heifer","breed",6,542.949624
4253,"March2020",1115.233139,6,10,"steer","breed",5.75,434.541136
4263,"March2020",894.6621705,6,3,"heifer","breed",6,584.226496
4268,"March2020",976.8842136,6,12,"heifer","breed",5.5,540.681664
4287,"March2020",1038.949403,6,10,"heifer","breed",5.375,477.178784
4288,"March2020",1024.957195,6,17,"steer","breed",5.375,429.551624
4305,"March2020",1126.714686,6,3,"heifer","breed",6,527.981088
4314,"March2020",1151.630028,6,1,"steer","breed",5.5,528.888272
4354,"March2020",872.2848443,6,13,"heifer","breed",5,479.446744
5001,"March2020",1042.374612,5,4,"heifer","breed",5.625,518.455656
5023,"March2020",955.5086017,5,18,"heifer","breed",5.5,485.34344
5037,"March2020",850.6136088,5,10,"steer","breed",5.875,527.527496
5044,"March2020",987.2385015,5,9,"heifer","breed",5.625,449.963264
5060,"March2020",774.4688938,5,20,"steer","breed",4.75,449.509672
5101,"March2020",1161.779062,5,15,"heifer","breed",5.25,530.249048
5114,"March2020",872.7526936,5,2,"steer","breed",5.125,398.253776
5124,"March2020",1032.723017,5,14,"steer","breed",5.5,454.499184
5182,"March2020",995.0889525,5,9,"heifer","breed",6,580.144168
5195,"March2020",821.833078,5,14,"steer","breed",5.25,504.847896
5213,"March2020",722.1102005,5,8,"heifer","breed",5.375,510.744592
5245,"March2020",786.8294155,5,9,"heifer","breed",5,391.903488
5299,"March2020",931.7867584,5,9,"steer","breed",5.75,494.41528
6122,"March2020",687.9331083,4,8,"steer","breed",5.625,413.675904
6126,"March2020",799.4298044,4,4,"heifer","breed",6,539.77448
6164,"March2020",898.4546161,4,14,"steer","breed",5.25,493.054504
6254,"March2020",1045.954726,4,12,"heifer","breed",5.75,497.136832
3711,"May2020",968.7467904,6,16,"steer","breed",5.125,468.560536
3739,"May2020",1110.713992,6,18,"steer","breed",5.875,532.517008
3750,"May2020",492.3461521,6,19,"heifer","breed",6.125,641.379088
3759,"May2020",1183.197274,6,11,"heifer","breed",5.75,537.50652
3789,"May2020",750.8008053,6,15,"heifer","breed",5.625,615.070752
4704,"May2020",1096.881107,6,14,"steer","breed",6,623.235408
4744,"May2020",844.3002645,6,21,"heifer","breed",6,645.915008
4748,"May2020",826.888593,6,1,"heifer","breed",6,610.08124
4797,"May2020",971.4805599,6,12,"heifer","breed",5.25,532.517008
4798,"May2020",1125.239768,6,14,"heifer","breed",6,531.156232
5602,"May2020",1086.445039,5,3,"heifer","breed",5.625,508.476632
5612,"May2020",871.3610093,5,24,"steer","breed",5.125,524.805944
5639,"May2020",913.5689724,5,20,"steer","breed",5.5,463.117432
5704,"May2020",994.8795314,5,4,"heifer","breed",6,521.6308
5707,"May2020",1249.376444,5,9,"steer","breed",5.25,549.299912
5713,"May2020",663.1180502,5,31,"heifer","breed",6.125,553.835832
5722,"May2020",829.0231616,5,6,"heifer","breed",6,563.361264
5723,"May2020",1037.144251,5,7,"heifer","breed",6,503.940712
5729,"May2020",899.8666271,5,15,"heifer","breed",5.375,541.588848
5730,"May2020",1021.992297,5,11,"steer","breed",5.25,488.064992
5736,"May2020",847.2061095,5,16,"heifer","breed",5.75,554.743016
5758,"May2020",1029.583738,5,9,"steer","breed",5.875,565.175632
5761,"May2020",923.9665788,5,20,"steer","breed",5.875,508.930224
5770,"May2020",902.2410075,5,15,"heifer","breed",6,566.082816
5795,"May2020",878.9060256,5,13,"steer","breed",5.75,538.867296
6601,"May2020",774.5535658,4,20,"steer","breed",5,386.913976
6751,"May2020",1024.026998,4,12,"heifer","breed",5.75,472.189272
6760,"May2020",900.7913683,4,2,"steer","breed",5.75,503.940712
6780,"May2020",873.7485947,4,21,"steer","breed",5.25,501.672752
6791,"May2020",490.6927997,4,9,"steer","breed",5.5,497.136832
5001,"March2021",1151.747199,6,2,"heifer","breed",5.75,542.04244
5023,"March2021",1403.048506,6,16,"steer","breed",5.75,514.82692
5204,"March2021",1268.354362,6,4,"heifer","breed",5.75,532.9706
5250,"March2021",1108.844199,6,1,"heifer","breed",5.75,501.21916
6016,"March2021",1207.071815,5,5,"heifer","breed",5.875,494.41528
6076,"March2021",1156.330746,5,2,"steer","breed",5.625,562.45408
6117,"March2021",971.3151049,5,3,"heifer","breed",5.25,421.84056
6122,"March2021",1075.548279,5,6,"steer","breed",5.875,489.87936
6164,"March2021",1081.376936,5,10,"steer","breed",5.625,514.82692
6179,"March2021",1300.180645,5,9,"steer","breed",5.875,512.55896
6254,"March2021",748.9144114,5,6,"steer","breed",5.875,532.9706
6311,"March2021",1040.109136,5,10,"heifer","breed",5.5,514.82692
6336,"March2021",1169.471306,5,8,"steer","breed",6,580.59776
7102,"March2021",847.3597511,4,3,"steer","breed",5.75,478.53956
7123,"March2021",1547.571989,4,13,"heifer","breed",5.875,448.148896
7135,"March2021",1155.645822,4,10,"steer","breed",5.75,458.12792
7140,"March2021",1539.2894,4,11,"heifer","breed",5.25,467.19976
7142,"March2021",1169.475842,4,17,"steer","breed",5.25,467.19976
7157,"March2021",1244.184712,4,17,"steer","breed",5.375,432.726768
7166,"March2021",1280.812266,4,9,"heifer","breed",5.25,471.73568
7170,"March2021",1331.253965,4,18,"heifer","breed",5,411.861536
7190,"March2021",1145.748444,4,19,"steer","breed",4.875,441.798608
7220,"March2021",1165.658865,4,14,"steer","breed",5.875,467.19976
7230,"March2021",1022.287506,4,17,"steer","breed",6,548.84632
7266,"March2021",776.8375349,4,10,"heifer","breed",5.875,498.9512
7298,"March2021",1069.12088,4,9,"heifer","breed",5.125,432.726768
7317,"March2021",1257.125692,4,8,"steer","breed",5.5,425.469296
7318,"March2021",1109.730972,4,18,"heifer","breed",5.5,483.07548
7331,"March2021",1156.178792,4,21,"heifer","breed",5.5,419.119008
5612,"May2021",1111.391118,6,24,"steer","breed",5.75,508.02304
5713,"May2021",1079.281341,6,13,"heifer","breed",6,576.06184
5723,"May2021",1122.594841,6,7,"heifer","breed",6,505.75508
5729,"May2021",977.8944569,6,15,"heifer","breed",6,546.57836
5748,"May2021",1313.622844,6,21,"steer","breed",5.75,526.16672
5766,"May2021",991.1211996,6,14,"heifer","breed",6,635.0288
5798,"May2021",840.4447411,6,20,"steer","breed",6.25,610.08124
6601,"May2021",1046.046655,5,23,"steer","breed",5.125,389.181936
6604,"May2021",1104.659813,5,10,"heifer","breed",5.125,440.891424
6708,"May2021",796.9974314,5,17,"steer","breed",6.125,632.76084
6718,"May2021",829.0187586,5,14,"steer","breed",5.5,420.933376
6726,"May2021",966.7995966,5,4,"heifer","breed",5.75,458.12792
6742,"May2021",953.0807065,5,17,"heifer","breed",5.75,562.45408
6751,"May2021",1138.892401,5,1,"heifer","breed",5.5,469.46772
6760,"May2021",1230.127896,5,10,"steer","breed",5.5,485.34344
6774,"May2021",1134.195456,5,9,"steer","breed",5.375,423.654928
6780,"May2021",1278.449052,5,31,"steer","breed",5.625,508.02304
7012,"May2021",1169.373784,4,2,"heifer","breed",5.75,553.38224
7039,"May2021",1244.166569,4,18,"heifer","breed",5.875,471.73568
7067,"May2021",1057.672218,4,14,"steer","breed",4.75,452.684816
7629,"May2021",639.510289,4,29,"steer","breed",5.5,464.9318
7632,"May2021",1036.632353,4,15,"steer","breed",5.375,428.190848
7701,"May2021",1132.333461,4,21,"heifer","breed",5.625,492.14732
7708,"May2021",1234.368981,4,12,"heifer","breed",5.75,548.84632
7719,"May2021",844.132444,4,30,"steer","breed",6.25,644.10064
7727,"May2021",1365.11234,4,4,"steer","breed",5.875,532.9706
7733,"May2021",972.5874305,4,29,"steer","breed",5.875,443.612976
7749,"May2021",1088.824916,4,15,"steer","breed",5.75,542.04244
7789,"May2021",1024.135893,4,6,"heifer","breed",5.5,458.12792
4008,"March2020",860.3356933,6,10,"steer","wean",4.75,469.921312
4045,"March2020",1372.741249,6,4,"steer","wean",5,486.250624
4218,"March2020",1048.074925,6,17,"steer","wean",5,478.53956
4224,"March2020",1110.653032,6,13,"steer","wean",4.75,531.609824
4251,"March2020",1218.710141,6,13,"heifer","wean",5.25,532.063416
4253,"March2020",1115.233139,6,10,"steer","wean",5,458.12792
4263,"March2020",894.6621705,6,3,"heifer","wean",5,554.289424
4268,"March2020",976.8842136,6,12,"heifer","wean",5,503.940712
4287,"March2020",1038.949403,6,10,"heifer","wean",5,469.014128
4288,"March2020",1024.957195,6,17,"steer","wean",5.25,413.222312
4305,"March2020",1126.714686,6,3,"heifer","wean",5.25,487.157808
4314,"March2020",1151.630028,6,1,"steer","wean",4.75,506.208672
4354,"March2020",872.2848443,6,13,"heifer","wean",5,477.178784
5001,"March2020",1042.374612,5,4,"heifer","wean",5,483.529072
5023,"March2020",955.5086017,5,18,"heifer","wean",4.75,469.46772
5037,"March2020",850.6136088,5,10,"steer","wean",5.25,508.476632
5044,"March2020",987.2385015,5,9,"heifer","wean",5,430.9124
5060,"March2020",774.4688938,5,20,"steer","wean",4.5,414.129496
5101,"March2020",1161.779062,5,15,"heifer","wean",4.5,505.301488
5114,"March2020",872.7526936,5,2,"steer","wean",5,439.530648
5124,"March2020",1032.723017,5,14,"steer","wean",5,443.159384
5182,"March2020",995.0889525,5,9,"heifer","wean",6,558.825344
5195,"March2020",821.833078,5,14,"steer","wean",5,487.6114
5213,"March2020",722.1102005,5,8,"heifer","wean",4.75,491.240136
5245,"March2020",786.8294155,5,9,"heifer","wean",4.5,391.903488
5299,"March2020",931.7867584,5,9,"steer","wean",5.5,522.084392
6122,"March2020",687.9331083,4,8,"steer","wean",5,459.942288
6126,"March2020",799.4298044,4,4,"heifer","wean",5.5,546.57836
6164,"March2020",898.4546161,4,14,"steer","wean",5,469.46772
6254,"March2020",1045.954726,4,12,"heifer","wean",5,507.115856
3711,"May2020",968.7467904,6,16,"steer","wean",5,527.527496
3739,"May2020",1110.713992,6,18,"steer","wean",5.25,503.033528
3750,"May2020",492.3461521,6,19,"heifer","wean",6,601.916584
3759,"May2020",1183.197274,6,11,"heifer","wean",5,503.48712
3789,"May2020",750.8008053,6,15,"heifer","wean",5.25,525.713128
4704,"May2020",1096.881107,6,14,"steer","wean",6,591.93756
4744,"May2020",844.3002645,6,21,"heifer","wean",5.75,576.06184
4748,"May2020",826.888593,6,1,"heifer","wean",5,491.240136
4797,"May2020",971.4805599,6,12,"heifer","wean",5,489.87936
4798,"May2020",1125.239768,6,14,"heifer","wean",5,439.530648
5602,"May2020",1086.445039,5,3,"heifer","wean",5,492.600912
5612,"May2020",871.3610093,5,24,"steer","wean",4.75,437.262688
5639,"May2020",913.5689724,5,20,"steer","wean",5.5,495.322464
5704,"May2020",994.8795314,5,4,"heifer","wean",5,519.816432
5707,"May2020",1249.376444,5,9,"steer","wean",6,527.981088
5713,"May2020",663.1180502,5,31,"heifer","wean",5.75,517.09488
5722,"May2020",829.0231616,5,6,"heifer","wean",5.25,463.571024
5723,"May2020",1037.144251,5,7,"heifer","wean",6,491.240136
5729,"May2020",899.8666271,5,15,"heifer","wean",6,414.129496
5730,"May2020",1021.992297,5,11,"steer","wean",6,529.795456
5736,"May2020",847.2061095,5,16,"heifer","wean",6,577.422616
5758,"May2020",1029.583738,5,9,"steer","wean",5.75,528.43468
5761,"May2020",923.9665788,5,20,"steer","wean",5,488.518584
5770,"May2020",902.2410075,5,15,"heifer","wean",5.5,535.692152
5795,"May2020",878.9060256,5,13,"steer","wean",5.5,503.033528
6601,"May2020",774.5535658,4,20,"steer","wean",4.75,366.955928
6751,"May2020",1024.026998,4,12,"heifer","wean",5,425.015704
6760,"May2020",900.7913683,4,2,"steer","wean",5,459.035104
6780,"May2020",873.7485947,4,21,"steer","wean",5.25,464.478208
6791,"May2020",490.6927997,4,9,"steer","wean",6,480.80752
5001,"March2021",1151.747199,6,2,"heifer","wean",5,501.21916
5023,"March2021",1403.048506,6,16,"steer","wean",5,474.00364
5204,"March2021",1268.354362,6,4,"heifer","wean",6,496.68324
5250,"March2021",1108.844199,6,1,"heifer","wean",5.5,485.34344
6016,"March2021",1207.071815,5,5,"heifer","wean",6,483.07548
6076,"March2021",1156.330746,5,2,"steer","wean",5.5,530.70264
6117,"March2021",971.3151049,5,3,"heifer","wean",5,400.068144
6122,"March2021",1075.548279,5,6,"steer","wean",6,494.41528
6164,"March2021",1081.376936,5,10,"steer","wean",5.25,503.48712
6179,"March2021",1300.180645,5,9,"steer","wean",6,512.55896
6254,"March2021",748.9144114,5,6,"steer","wean",6,512.55896
6311,"March2021",1040.109136,5,10,"heifer","wean",5.5,492.14732
6336,"March2021",1169.471306,5,8,"steer","wean",6,532.9706
7102,"March2021",847.3597511,4,3,"steer","wean",5.5,474.00364
7123,"March2021",1547.571989,4,13,"heifer","wean",5.25,414.583088
7135,"March2021",1155.645822,4,10,"steer","wean",6,455.85996
7140,"March2021",1539.2894,4,11,"heifer","wean",5,458.12792
7142,"March2021",1169.475842,4,17,"steer","wean",4.75,452.684816
7157,"March2021",1244.184712,4,17,"steer","wean",4.5,437.262688
7166,"March2021",1280.812266,4,9,"heifer","wean",5,437.262688
7170,"March2021",1331.253965,4,18,"heifer","wean",5,400.068144
7190,"March2021",1145.748444,4,19,"steer","wean",4.5,393.717856
7220,"March2021",1165.658865,4,14,"steer","wean",5.5,437.262688
7230,"March2021",1022.287506,4,17,"steer","wean",6,551.11428
7266,"March2021",776.8375349,4,10,"heifer","wean",6,496.68324
7298,"March2021",1069.12088,4,9,"heifer","wean",5,429.098032
7317,"March2021",1257.125692,4,8,"steer","wean",4.75,410.954352
7318,"March2021",1109.730972,4,18,"heifer","wean",5.25,474.00364
7331,"March2021",1156.178792,4,21,"heifer","wean",4.75,394.62504
5612,"May2021",1111.391118,6,24,"steer","wean",5.5,519.36284
5713,"May2021",1079.281341,6,13,"heifer","wean",6,580.59776
5723,"May2021",1122.594841,6,7,"heifer","wean",5,483.07548
5729,"May2021",977.8944569,6,15,"heifer","wean",6,544.3104
5748,"May2021",1313.622844,6,21,"steer","wean",5,532.9706
5766,"May2021",991.1211996,6,14,"heifer","wean",5.5,637.29676
5798,"May2021",840.4447411,6,20,"steer","wean",6,598.74144
6601,"May2021",1046.046655,5,23,"steer","wean",4.75,390.996304
6604,"May2021",1104.659813,5,10,"heifer","wean",4.5,438.169872
6708,"May2021",796.9974314,5,17,"steer","wean",5.75,653.17248
6718,"May2021",829.0187586,5,14,"steer","wean",5,455.85996
6726,"May2021",966.7995966,5,4,"heifer","wean",5.25,449.05608
6742,"May2021",953.0807065,5,17,"heifer","wean",5.5,564.72204
6751,"May2021",1138.892401,5,1,"heifer","wean",5,460.39588
6760,"May2021",1230.127896,5,10,"steer","wean",5,508.02304
6774,"May2021",1134.195456,5,9,"steer","wean",5,439.98424
6780,"May2021",1278.449052,5,31,"steer","wean",5,505.75508
7012,"May2021",1169.373784,4,2,"heifer","wean",4.75,576.06184
7039,"May2021",1244.166569,4,18,"heifer","wean",5.25,492.14732
7067,"May2021",1057.672218,4,14,"steer","wean",4.25,447.241712
7629,"May2021",639.510289,4,29,"steer","wean",5,487.6114
7632,"May2021",1036.632353,4,15,"steer","wean",5.25,427.283664
7701,"May2021",1132.333461,4,21,"heifer","wean",5,508.02304
7708,"May2021",1234.368981,4,12,"heifer","wean",5.25,564.72204
7719,"May2021",844.132444,4,30,"steer","wean",6,614.61716
7727,"May2021",1365.11234,4,4,"steer","wean",5.5,553.38224
7733,"May2021",972.5874305,4,29,"steer","wean",5,430.9124
7749,"May2021",1088.824916,4,15,"steer","wean",5.5,539.77448
7789,"May2021",1024.135893,4,6,"heifer","wean",5,462.66384
